Titulo,Codigo,Creditos,Requisitos,Profesores,Departamento
Introducción al Cálculo,MA1001,6,,"['Patricio_Quiroz, Jessica_Trespalacios, Gabrielle_Nornberg, Javier_Ramírez']",DIM
Cálculo Diferencial e Integral,MA1002,6,"['MA1001', 'MA100']","['Leonardo_Sánchez, Javier_Ramírez, Pedro_Perez, Cristián_Reyes, Patricio_Felmer, Jorge_San, Rodolfo_Gutiérrez']",DIM
Introducción al Álgebra,MA1101,6,,"['Iván_Rapaport, Maya_Stein, Flavio_Guiñez']",DIM
Álgebra Lineal,MA1102,6,"['MA1101', 'MA110']","['Vicente_Acuña, Jaime_San, Marcos_Kiwi, Martín_Matamala, Pablo_Dartnell, Mauricio_Telias, Natacha_Astromujoff, Melanie_Sánchez, Alejandro_Maass']",DIM
Cálculo en Varias Variables,MA2001,6,"['MA1002', 'MA1A2', 'MA1102', 'MA1B2']","['Patricio_Quiroz, Alexis_Fuentes, Javier_Ramírez']",DIM
Cálculo Avanzado y Aplicaciones,MA2002,6,"['MA2001', 'MA2A1', 'MA2601', 'MA2G1']","['Jaime_Ortega, Pablo_Araya, Avelio_Sepúlveda, Carlos_Conca, Ricardo_Carlos, Jorge_San']",DIM
Ecuaciones Diferenciales Ordinarias,MA2601,6,"['MA1002', 'MA1A2', 'MA1102', 'MA1B2']","['Jessica_Trespalacios, Gabrielle_Nornberg']",DIM
Tópicos en Análisis Convexo,MA3002,6,['MA2001'],['Rafael_Correa'],DIM
Elementos de Álgebra,MA3101,6,"['MA2001', 'MA2A1']",['Maya_Stein'],DIM
Estadística,MA3402,6,"['MA3401', 'MA34A']",['Joaquin_Fontbona'],DIM
Probabilidades y Estadística,MA3403,6,"['MA2001', 'MA2A1']","['Raul_Gouet, Servet_Martinez, Fernando_Lema']",DIM
Optimización,MA3701,6,['MA2002'],['Jorge_Amaya'],DIM
Algoritmos Combinatoriales,MA3705,6,['MA3711'],['José_Soto'],DIM
Análisis,MA3801,9,"['MA2002', 'MA2A2']",['Hanne_Van'],DIM
Teoría de la Medida,MA3802,9,['MA3801'],['Jaime_San'],DIM
Introducción a la Historia de la Matemática,MA4111,6,['MA3801'],['Raúl_Gormaz'],DIM
Simulación Estocástica: Teoría y Laboratorio,MA4402,6,['MA4401'],['Avelio_Sepúlveda'],DIM
Control Óptimo: Teoría y Laboratorio,MA4703,9,['MA4801'],['Héctor_Ramírez'],DIM
Análisis Funcional,MA4801,6,['MA3802'],['Salome_Martinez'],DIM
Ecuaciones en Derivadas Parciales,MA4802,9,['MA4801'],"['Rayssa_Aires, Claudio_Muñoz']",DIM
Práctica Profesional I,MA4902,7,"['MA3402', 'AUTOR']",['Hanne_Van'],DIM
Problemas Inversos y de Control de EDP,MA5306,6,"['MA4601', 'MA4802']",['Axel_Osses'],DIM
Cálculo Estocástico,MA5402,6,['MA4401'],['Daniel_Remenik'],DIM
Laboratorio de Modelamiento Matemático I,MA5500,6,"['MA49A', 'MA4902', 'AUTOR']","['Jaime_San, Alejandro_Maass']",DIM
Teoría de Grafos,MA5505,6,['MA3705'],['Martín_Matamala'],DIM
Seminario de Recurrencia en Teoría Ergódica,MA5506,6,"['MA3802', 'MA5802']",['Sebastián_Donoso'],DIM
Ecología Matemática,MA5509,6,['MA2002'],['Salome_Martinez'],DIM
Análisis no Lineal,MA5603,6,"['MA5601', 'MA4802']",['Raul_Manasevich'],DIM
Análisis Convexo y Dualidad,MA5801,6,"['MA4801', 'AUTOR']",['Alejandro_Jofré'],DIM
Práctica Profesional II,MA5902,7,"['MA4902', 'MA4402', 'MA4703']",['Hanne_Van'],DIM
Computación Distribuida,MA6140,6,"['MA3705', 'AUTOR']",['Iván_Rapaport'],DIM
Seminarios,MA6420,"MA4230,AUTOR",['Electivo_Doctorado'],['Daniel_Remenik'],DIM
Práctica Profesional III,MA6902,7,"['MA5902', 'MA4703', 'AUTOR']",['Hanne_Van'],DIM
Introducción al Trabajo de Título,MA6908,3,,['Hanne_Van'],DIM
Trabajo de Título,MA6909,21,"['MA6908', 'MA6907', 'EI4205S', 'EI2090']",['Hanne_Van'],DIM
Trabajo de Memoria de Título,MA6910,21,"['MA6908', 'MA6907', 'EI4205', 'EI2090', 'AUTOR']",['Hanne_Van'],DIM
