Nombre,Cargo,Grados,Codigo
Andres_Abeliuk,Prof_Asistente,"[{'Grado': 'Doctor', 'Institucion': 'U_de_Melbourne', 'fecha': '15-12-2017'}, {'Grado': 'Ingeniero_Civil_en_Computacion', 'Institucion': 'Universidad_De_Chile', 'fecha': '01-06-2012'}]",DCC
Nelson_Baloian,Prof_Asociado,"[{'Grado': 'Doctor', 'Institucion': 'U_de_Duisburg', 'fecha': '31-12-1998'}, {'Grado': 'Ingeniero_Civil_en_Computacion', 'Institucion': 'Universidad_De_Chile', 'fecha': '05-04-1988'}]",DCC
Maria_Bastarrica,Prof_Asociado,"[{'Grado': 'Doctor', 'Institucion': 'U_of_Connecticut', 'fecha': '31-08-2000'}, {'Grado': 'Magister', 'Institucion': 'Pontificia_Universidad_Catolica_De_Chile', 'fecha': '11-11-1994'}]",DCC
Javier_Bustos,Prof_Adjunto,"[{'Grado': 'Doctor', 'Institucion': 'Universidad_De_Chile', 'fecha': '02-01-2007'}, {'Grado': 'Doctor', 'Institucion': 'Universite_de_NiceSophia_Antipolis', 'fecha': '18-12-2006'}, {'Grado': 'Magister', 'Institucion': 'Universidad_De_Chile', 'fecha': '29-08-2003'}, {'Grado': 'Ingeniero_Civil_en_Computacion', 'Institucion': 'Universidad_De_Chile', 'fecha': '23-03-2001'}]",DCC
Ivana_Bachmann,Prof_Asistente,"[{'Grado': 'Doctor', 'Institucion': 'Universidad_De_Chile', 'fecha': '28-10-2022'}, {'Grado': 'Ingeniero_Civil_en_Computacion', 'Institucion': 'Universidad_De_Chile', 'fecha': '09-05-2017'}, {'Grado': 'Magister', 'Institucion': 'Universidad_De_Chile', 'fecha': '09-05-2017'}]",DCC
Valentin_Barriere,Prof_Asistente,"[{'Grado': 'Doctor', 'Institucion': 'UNIVERSIDAD_PARISSACLAY', 'fecha': '25-05-2016'}]",DCC
Jose_Benguria,Prof_Asistente,"[{'Grado': 'Magister', 'Institucion': 'Universidad_De_Chile', 'fecha': '11-11-1983'}]",DCC
Benjamin_Bustos,Prof_Titular,"[{'Grado': 'Doctor', 'Institucion': 'U_of_Konstanz', 'fecha': '16-10-2006'}, {'Grado': 'Magister', 'Institucion': 'Universidad_De_Chile', 'fecha': '17-09-2002'}, {'Grado': 'Ingeniero_Civil_en_Computacion', 'Institucion': 'Universidad_De_Chile', 'fecha': '06-04-2001'}]",DCC
Ricardo_Baeza,Prof_Titular,"[{'Grado': 'Doctor', 'Institucion': 'U_of_Waterloo', 'fecha': '26-05-1989'}, {'Grado': 'Magister', 'Institucion': 'Universidad_De_Chile', 'fecha': '06-05-1986'}, {'Grado': 'Ingeniero_Civil_Electrico', 'Institucion': 'Universidad_De_Chile', 'fecha': '22-01-1985'}]",DCC
Juan_Barrios,Prof_Adjunto,"[{'Grado': 'Ingeniero_Civil', 'Institucion': 'Universidad_De_Chile', 'fecha': '13-06-2003'}]",DCC
Felipe_Bravo,Prof_Asociado,"[{'Grado': 'Doctor', 'Institucion': 'University_of_Waikato', 'fecha': '13-12-2017'}, {'Grado': 'Magister', 'Institucion': 'Universidad_De_Chile', 'fecha': '01-10-2013'}, {'Grado': 'Ingeniero_Civil_Industrial', 'Institucion': 'Universidad_De_Chile', 'fecha': '26-11-2010'}, {'Grado': 'Ingeniero_Civil_en_Computacion', 'Institucion': 'Universidad_De_Chile', 'fecha': '26-11-2010'}]",DCC
Eduardo_Godoy,Prof_Adjunto,"[{'Grado': 'Magister', 'Institucion': 'Universidad_Andres_Bello', 'fecha': '25-01-2023'}, {'Grado': 'Ingeniero_Civil', 'Institucion': 'Universidad_De_Chile', 'fecha': '12-08-1997'}, {'Grado': 'Licenciado', 'Institucion': 'Universidad_De_Chile', 'fecha': '11-07-1995'}]",DCC
