Titulo,Codigo,Creditos,Requisitos,Profesores,Departamento
Introducción al Cálculo,MA1001,6,['No tiene'],"['Patricio Quiroz H.', 'Jessica Trespalacios J.', 'Gabrielle Nornberg', 'Javier Ramírez Ganga']",DIM
Cálculo Diferencial e Integral,MA1002,6,['(MA1001/MA100)'],"['Leonardo Sánchez C.', 'Javier Ramírez Ganga', 'Pedro Perez Aros', 'Cristián Reyes', 'Patricio Felmer A.', 'Jorge A. San Martín H.', 'Rodolfo Gutiérrez Romo']",DIM
Introducción al Álgebra,MA1101,6,['No tiene'],"['Iván Rapaport', 'Maya Stein', 'Flavio Guiñez A.']",DIM
Álgebra Lineal,MA1102,6,['(MA1101/MA110)'],"['Vicente Acuña A.', 'Jaime San Martín', 'Marcos Kiwi', 'Martín Matamala', 'Pablo R. Dartnell R.', 'Mauricio Telias H.', 'Natacha Astromujoff', 'Melanie Sánchez P.', 'Alejandro Maass S.']",DIM
Cálculo en Varias Variables,MA2001,6,"['(MA1002/MA1A2)', '(MA1102/MA1B2)']","['Patricio Quiroz H.', 'Alexis Fuentes P.', 'Javier Ramírez Ganga']",DIM
Cálculo Avanzado y Aplicaciones,MA2002,6,"['(MA2001/MA2A1)', '(MA2601/MA2G1)']","['Jaime Ortega P.', 'Pablo Araya Z.', 'Avelio Sepúlveda', 'Carlos Conca R.', 'Ricardo Carlos F.', 'Jorge A. San Martín H.']",DIM
Ecuaciones Diferenciales Ordinarias,MA2601,6,"['(MA1002/MA1A2)', '(MA1102/MA1B2)']","['Jessica Trespalacios J.', 'Gabrielle Nornberg']",DIM
Tópicos en Análisis Convexo,MA3002,6,['MA2001'],['Rafael Correa F.'],DIM
Elementos de Álgebra,MA3101,6,['MA2001/MA2A1'],['Maya Stein'],DIM
Estadística,MA3402,6,['MA3401/MA34A'],['Joaquin Fontbona T.'],DIM
Probabilidades y Estadística,MA3403,6,['MA2001/MA2A1'],"['Raul Gouet B.', 'Servet Martinez A.', 'Fernando Lema F.']",DIM
Optimización,MA3701,6,['MA2002'],['Jorge G. Amaya A.'],DIM
Algoritmos Combinatoriales,MA3705,6,['MA3711'],['José A. Soto S.'],DIM
Análisis,MA3801,9,['MA2002/MA2A2'],['Hanne Van Den Bosch'],DIM
Teoría de la Medida,MA3802,9,['MA3801'],['Jaime San Martín'],DIM
Introducción a la Historia de la Matemática,MA4111,6,['MA3801'],['Raúl Gormaz A.'],DIM
Simulación Estocástica: Teoría y Laboratorio,MA4402,6,['MA4401'],['Avelio Sepúlveda'],DIM
Control Óptimo: Teoría y Laboratorio,MA4703,9,['MA4801'],['Héctor Ramírez C.'],DIM
