Titulo,Codigo,Creditos,Requisitos,Profesores
Herramientas Computacionales para Ingenieria y Ciencias,CC1000,3,['No tiene'],['Juan Alvarez R.']
Introduccion a la Programacion,CC1002,6,['CR3'],"['Valentin Munoz Apablaza', 'Matias Torrealba A.', 'Patricio Inostroza F.', 'Francisco J. Gutierrez', 'Juan Alvarez R.', 'Nelson Baloian T.', 'Cristian Parra O.', 'Benjamin Bustos', 'Eduardo Godoy Vega']"
Algoritmos y Estructuras de Datos,CC3001,6,"['(CC1001/CC1002)', 'CR90']","['Alejandro Quijada', 'Patricio Poblete', 'Nelson Baloian T.']"
Metodologias de Diseno y Programacion,CC3002,6,['CC3001/CC30A'],"['Matias Toro I.', 'Ignacio Slater M.']"
Matematicas Discretas para la Computacion,CC3101,6,"['CC1002', 'MA1101']",['Federico Olmedo']
Teoria de la Computacion,CC3102,6,['CC3101/MA3705'],"['Andres Abeliuk', 'Alejandro Hevia A.']"
Bases de Datos,CC3201,6,['CC3001'],"['Matias Toro I.', 'Claudio Gutierrez']"
Programacion de Software de Sistemas,CC3301,6,['CC3001'],"['Rodrigo Urrea', 'Luis Mateu B.', 'Alexandra Ibarra']"
Modelacion y Computacion Grafica para Ingenieros,CC3501,6,"['CC1002', 'MA2001', 'MA2601', 'FI2001']","['Nancy Hitschfeld K.', 'Ivan Sipiran']"
Taller de Programacion B,CC4002,3,['No tiene'],['Andres Abeliuk']
Taller de Programacion Competitiva B,CC4006,6,['No tiene'],['Andres Abeliuk']
Lenguajes de Programacion,CC4101,6,['CC3102'],"['Ismael Figueroa', 'Federico Olmedo']"
Diseno y Analisis de Algoritmos,CC4102,6,"['(MA3403/MA3402)', 'CC3001', 'CC3102']","['Gonzalo Navarro', 'Benjamin Bustos']"
Arquitectura de Computadores,CC4301,6,"['CC3301', 'FI2002']",['Luis Mateu B.']
Sistemas Operativos,CC4302,6,['CC3301'],"['Luis Mateu B.', 'Lucas Torrealba A.', 'Rodrigo Arenas A.']"
Redes,CC4303,6,['CC4302'],"['Javier Bustos Jimenez', 'Jose M. Piquer']"
Ingenieria de Software,CC4401,6,"['CC3002', 'CC3201']",['Jocelyn Simmonds']
"Formulacion, Evaluacion y Gestion de Proyectos",CC4402,6,"['CC4401', 'CD2201', 'IN2201']","['Daniel Perovich', 'Sergio F. Ochoa D.']"
Taller de Practica Profesional I,CC4900,No tiene,['CC4902'],['Ivan Sipiran']
Practica Profesional I,CC4901,7,"['(CC3002', 'CC3201', 'CC3301', 'CC4900)/AUTOR']",['Ivan Sipiran']
Desarrollo de Aplicaciones Web,CC5002,6,['CC3001/CC30A'],['Jose Urzua']
Analisis Avanzado de Algoritmos,CC5101,6,"['CC3001', '(MA3403/AUTOR)']",['Patricio Poblete']
Lenguajes de Programacion II,CC5104,6,"['((CC4101/CC41A)', '(CC3002/CC51H))/AUTOR']",['Eric Tanter']
Programacion Funcional,CC5115,,,['Federico Olmedo']
Diseno e Implementacion de Compiladores,CC5116,6,"['CC3301', 'CC4101']",['Eric Tanter']
"Algoritmos, Redes y Equidad: Analisis de Sistemas Sociotecnicos",CC5117,6,['CC3101/MA3403'],['Andres Abeliuk']
Mineria de Datos,CC5205,6,['CC3001'],"['Juan Jose Alegria F.', 'Valentin Barriere']"
Visualizacion de Informacion,CC5208,6,['CC3201'],['Eduardo Graells Garrido']
Recuperacion de Informacion Multimedia,CC5213,6,['CC3001'],['Juan Manuel Barrios']
Introduccion a la Criptografia Moderna,CC5301,6,"['(CC3001/CC30A)', '(CC3102/CC30B)', '(MA3403/MA34A/MA47A/MA4701/AUTOR)']",['Alejandro Hevia A.']
Arquitectura de Sistemas de Alta Disponibilidad,CC5304,6,"['(CC3201/CC42A)', '(CC4302/CC41B)']",['Cesar Guerrero S.']
Taller de Redes De Datos,CC5322,3,['CC4303'],['Rodrigo Arenas A.']
Diseno de Sistemas de Internet de las Cosas,CC5326,6,"['CC3301', 'CC4303']",['Luciano Radrigan F.']
Sistemas embebidos y sensores,CC5328,6,['CC4302'],['Luciano Radrigan F.']
Ingenieria de Software II,CC5401,6,"['CC4101', 'CC4401']",['Sergio F. Ochoa D.']
Proyecto de Software,CC5402,12,"['(CC4402', 'CC5205)/(IN3301', 'CC5401', 'CC4303', 'CC4102)']","['Cecilia Bastarrica', 'Gonzalo Alarcon Usui', 'Cristian Salazar De la Fuente']"
Taller de Diseno y Desarrollo de Videojuegos,CC5408,6,['CC1002'],['Elias Zelada']
Taller de Videojuegos Multijugador,CC5409,6,['CC3002'],['Elias Zelada']
Mallas Geometricas y Aplicaciones,CC5501,6,['CC3001/AUTOR'],['Benjamin Mellado']
Arquitectura de Motores de Juegos,CC5512,6,"['CC3501', 'CC4302', 'CC4401']",['Daniel Calderon']
Procesamiento geometrico y analisis de formas,CC5513,6,"['CC4102', 'CC3501']",['Ivan Sipiran']
Preparacion y Evaluacion de Proyectos TI,CC5601,6,['CC4402'],['Pablo Gonzalez J.']
Gestion Informatica,CC5602,6,['CC4402'],['Macarena V. Osorio A.']
Gestion y Gobernanza de Datos,CC5603,6,['CC4402'],['Hugo Beltran A.']
Taller de Desarrollo Comercial,CC5609,3,['CC3002'],['Adolfo Carrasco A.']
Etica para Ingenieros en Computacion,CC5611,3,['CC3002'],['Javier Bustos Jimenez']
Taller de Comunicacion Efectiva: Caso Practico de Lanzamiento de Producto,CC5613,3,['CC3002'],['Eduardo Godoy Vega']
Herramientas para el Trabajo en Equipo,CC5614,3,['CC3002'],['Andrea Rodriguez Silva']
"Taller de Transformacion Digital, una Vision Empresarial",CC5618,3,['CC4401'],['Hugo Beltran A.']
Introduccion al Derecho Informatico,CC5620,6,['CC4901'],"['Arantxa Ereche T.', 'J. Tomas Brancoli']"
Informatica Medica,CC5701,3,['CC3201/CC42A/AUTOR'],['Sandra De la Fuente G.']
Taller de Practica Profesional II,CC5900,No tiene,['Taller requisito para realizar la Practica Profesional II'],['Ivan Sipiran']
Practica Profesional II,CC5901,7,"['CC4901', 'CC4401', 'CC4101', 'CC5900']",['Ivan Sipiran']
Trabajo Dirigido,CC5905,6,['AUTOR'],"['Matias Toro I.', 'Felipe Bravo Marquez', 'Alejandro Hevia A.', 'Nancy Hitschfeld K.', 'Francisco J. Gutierrez', 'Aidan Hogan', 'Sergio F. Ochoa D.']"
Pensamiento Estadistico,CC6104,6,['CC5206/MA3403/MA3401/CC5205/EL3104/IN3141'],['Felipe Bravo Marquez']
Deep Learning,CC6204,6,['CC5205'],['Valentin Barriere']
Innovacion y Emprendimiento,CC6603,6,['CC4401'],['Hugo Beltran A.']
Introduccion al Trabajo de Titulo,CC6907,6,"['CC4402', 'CR267']",['Cecilia Bastarrica']
Introduccion al Trabajo de Titulo,CC6908,3,"['CR267', '(EI4205S/EI2090)', 'CC5401']",['Cecilia Bastarrica']
Trabajo de Titulo,CC6909,21,"['CC6908', '(EI4205/EI2090)', 'CC5402']","['Felipe Bravo Marquez', 'Jose M. Saavedra R.', 'Gonzalo Navarro', 'Jocelyn Simmonds', 'Luis Mateu B.', 'Nancy Hitschfeld K.', 'Andres Abeliuk', 'Aidan Hogan', 'Sergio F. Ochoa D.', 'Andres Munoz Ordenes', 'Ivan Sipiran', 'Francisco J. Gutierrez', 'Benjamin Bustos', 'Javier Bustos Jimenez', 'Matias Toro I.', 'Cecilia Bastarrica', 'Sebastian Ferrada Aliaga', 'Eduardo Graells Garrido', 'Luciano Radrigan F.']
Trabajo de Titulo,CC6919,CC6907,['CC6909'],"['Benjamin Bustos', 'Cecilia Bastarrica', 'Nelson Baloian T.', 'Nancy Hitschfeld K.', 'Ivan Sipiran', 'Francisco J. Gutierrez', 'Claudio Gutierrez', 'Eric Tanter', 'Andres Abeliuk', 'Jose M. Saavedra R.', 'Aidan Hogan', 'Jocelyn Simmonds', 'Eduardo Godoy Vega']"
Pasantia de Investigacion I,CC7010,3,['No tiene'],['Gonzalo Navarro']
Pasantia de Investigacion II,CC7015,3,['No tiene'],['Gonzalo Navarro']
Investigacion Dirigida,CC7020,6,['No tiene'],['Gonzalo Navarro']
"Introduccion a Coq: Logica, Tipos y Verificacion",CC7125,6,['CC4101/(MA3705/MA4702)/AUTOR'],['Eric Tanter']
